OMIM	101000	NEUROFIBROMATOSIS, TYPE II	NOT	HP:0009737	OMIM:101000	IEA				O		2010.06.18	SKOEHLER
OMIM	103500	#103500 TIETZ SYNDROME;;ALBINISM-DEAFNESS OF TIETZ;;HYPOPIGMENTATION/DEAFNESS OF TIETZ;;TIETZ ALBINISM-DEAFNESS SYNDROME	NOT	HP:0001100	OMIM:103500	IEA				O		2010.06.18	HPO:skoehler
OMIM	104290	ALTERNATING HEMIPLEGIA OF CHILDHOOD	NOT	HP:0002315	OMIM:104290	IEA				O		2010.06.20	SKOEHLER
OMIM	105120	AMYLOIDOSIS V	NOT	HP:0002459	OMIM:105120	IEA				O		2010.06.20	SKOEHLER
OMIM	105200	AMYLOIDOSIS, FAMILIAL VISCERAL	NOT	HP:0009830	OMIM:105200	IEA				O		2012.07.26	HPO:probinson
OMIM	105250	AMYLOIDOSIS, PRIMARY CUTANEOUS	NOT	HP:0002459	OMIM:105250	IEA				O		2010.06.18	SKOEHLER
OMIM	109740	109740 BIFID NOSE, AUTOSOMAL DOMINANT	NOT	HP:0000316	OMIM:109740	IEA				O		2010.06.18	SKOEHLER
OMIM	112300	BOOK SYNDROME	NOT	HP:0001597	OMIM:112300	TAS				O		2009.02.17	probinson
OMIM	112700	BRACHYDACTYLY, TYPE A3	NOT	HP:0001507	OMIM:112700	TAS				O		2009.02.17	probinson
OMIM	112900	BRACHYDACTYLY, TYPE A5, WITH NAIL DYSPLASIA	NOT	HP:0001507	OMIM:112900	TAS				O		2009.02.17	probinson
OMIM	114030	CAFE-AU-LAIT SPOTS, MULTIPLE	NOT	HP:0001067	OMIM:114030	IEA				O		2010.06.18	SKOEHLER
OMIM	118301	118301 CHARCOT-MARIE-TOOTH DISEASE WITH PTOSIS AND PARKINSONISM	NOT	HP:0007305	OMIM:118301	IEA				O		2012.11.16	HPO:skoehler
OMIM	118610	118610 CHONDROCALCINOSIS DUE TO APATITE CRYSTAL DEPOSITION;;FAMILIAL APATITE DISEASE	NOT	HP:0001507	OMIM:118610	TAS				O		2009.02.17	HPO:probinson
OMIM	118700	#118700 CHOREA, BENIGN HEREDITARY; BHC;;BCH;;HEREDITARY PROGRESSIVE CHOREA WITHOUT DEMENTIA	NOT	HP:0000726	OMIM:118700	IEA				O		2012.11.16	HPO:skoehler
OMIM	120440	120440 COLONIC VARICES WITHOUT PORTAL HYPERTENSION	NOT	HP:0001392	OMIM:120440	IEA				O		2012.11.16	HPO:skoehler
OMIM	123560	CRYPTOMICROTIA-BRACHYDACTYLY SYNDROME	NOT	HP:0000047	OMIM:123560	TAS				O		2010.06.20	SKOEHLER
OMIM	123700	#123700 CUTIS LAXA, AUTOSOMAL DOMINANT 1; ADCL1	NOT	HP:0000974	OMIM:123700	IEA				O		2010.06.18	SKOEHLER
OMIM	129510	ECTODERMAL DYSPLASIA, TRICHOODONTOONYCHIAL TYPEAMASTIA, INCLUDED	NOT	HP:0000975	OMIM:129510	IEA				O		2010.06.20	SKOEHLER
OMIM	129810	ECTRODACTYLY AND ECTODERMAL DYSPLASIA WITHOUT CLEFT LIP/PALATE	NOT	HP:0000202	OMIM:129810	IEA				O		2010.06.18	SKOEHLER
